eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409120093,2014,9,12,110,Lebanon,10,Middle East & North Africa,34.180261,36.421203,1,0,7,Facility/Infrastructure Attack,1,Business,Islamic State of Iraq and the Levant (ISIL),13,Unknown,0,0,0,0,1,4,Unknown
201409120097,2014,9,12,209,Turkey,10,Middle East & North Africa,38.50055,42.195035,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Kurdistan Workers' Party (PKK),5,Firearms,1,0,0,0,0,,
201409130001,2014,9,14,153,Pakistan,6,South Asia,33.173915,70.402137,1,0,3,Bombing/Explosion,4,Military,Mujahideen Ansar,6,Explosives/Bombs/Dynamite,3,0,0,0,1,3,Minor (likely < $1 million)
201409130002,2014,9,13,153,Pakistan,6,South Asia,30.165878,67.002304,1,0,3,Bombing/Explosion,4,Military,United Baloch Army (UBA),6,Explosives/Bombs/Dynamite,3,0,24,0,1,3,Minor (likely < $1 million)
201409130003,2014,9,13,153,Pakistan,6,South Asia,30.922693,66.446088,1,0,2,Armed Assault,4,Military,Unknown,5,Firearms,0,0,2,0,1,4,Unknown
201409130004,2014,9,13,182,Somalia,11,Sub-Saharan Africa,2.036492,45.345259,1,0,1,Assassination,2,Government (General),Al-Shabaab,5,Firearms,1,0,0,0,1,3,Minor (likely < $1 million)
201409130005,2014,9,13,228,Yemen,10,Middle East & North Africa,14.531382,49.127513,1,0,2,Armed Assault,3,Police,Al-Qa`ida in the Arabian Peninsula (AQAP),5,Firearms,1,0,0,0,0,,
201409130008,2014,9,13,182,Somalia,11,Sub-Saharan Africa,2.074902,45.37447,1,0,9,Unknown,2,Government (General),Al-Shabaab,13,Unknown,,,,,-9,,
201409130009,2014,9,13,4,Afghanistan,6,South Asia,33.666285,69.786029,1,0,2,Armed Assault,2,Government (General),Taliban,5,Firearms,3,3,6,6,0,,
201409130010,2014,9,13,4,Afghanistan,6,South Asia,34.975411,70.908371,1,0,2,Armed Assault,4,Military,Taliban,5,Firearms,9,7.5,10.5,8.5,1,4,Unknown
201409130011,2014,9,13,153,Pakistan,6,South Asia,31.502272,74.447954,1,0,3,Bombing/Explosion,4,Military,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,-9,,
201409130012,2014,9,13,153,Pakistan,6,South Asia,26.715968,64.171015,1,0,3,Bombing/Explosion,19,Transportation,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,1,4,Unknown
201409130013,2014,9,13,4,Afghanistan,6,South Asia,33.33303,69.917002,0,1,3,Bombing/Explosion,2,Government (General),Unknown,6,Explosives/Bombs/Dynamite,1,1,0,0,0,,
201409130014,2014,9,13,4,Afghanistan,6,South Asia,32.767164,62.649985,1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives/Bombs/Dynamite,2,0,6,0,0,,
201409130015,2014,9,13,110,Lebanon,10,Middle East & North Africa,34.180261,36.421203,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Al-Nusrah Front,5,Firearms,0,0,0,0,0,,
201409130016,2014,9,13,110,Lebanon,10,Middle East & North Africa,33.774858,35.899271,1,0,2,Armed Assault,14,Private Citizens & Property,Unknown,9,Melee,0,0,1,0,0,,
201409130017,2014,9,13,110,Lebanon,10,Middle East & North Africa,33.322702,35.466446,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,Unknown,8,Incendiary,0,0,0,0,1,3,Minor (likely < $1 million)
201409130018,2014,9,13,153,Pakistan,6,South Asia,33.991084,71.253845,1,0,2,Armed Assault,4,Military,Unknown,5,Firearms,2,0,0,0,1,3,Minor (likely < $1 million)
